fecha,total_enfermedad_circulatorio,total_enfermedad_respiratorio,total_enfermedades
2012-01-01,339.0,1510.0,1849.0
2012-02-01,651.0,2655.0,3306.0
2012-03-01,962.0,3559.0,4521.0
2012-04-01,1245.0,4366.0,5611.0
2012-05-01,1546.0,5219.0,6765.0
2012-06-01,1783.0,5967.0,7750.0
2012-07-01,2070.0,6788.0,8858.0
2012-08-01,2369.0,7531.0,9900.0
2012-09-01,2649.0,8377.0,11026.0
2012-10-01,2972.0,9214.0,12186.0
2012-11-01,3250.0,10223.0,13473.0
2012-12-01,3604.0,11585.0,15189.0
2013-01-01,3989.0,13008.0,16997.0
2013-02-01,4284.0,14152.0,18436.0
2013-03-01,4595.0,15269.0,19864.0
2013-04-01,4875.0,16175.0,21050.0
2013-05-01,5142.0,17018.0,22160.0
2013-06-01,5400.0,17828.0,23228.0
2013-07-01,5671.0,18651.0,24322.0
2013-08-01,5969.0,19428.0,25397.0
2013-09-01,6253.0,20286.0,26539.0
2013-10-01,6576.0,21308.0,27884.0
2013-11-01,6887.0,22394.0,29281.0
2013-12-01,7240.0,23706.0,30946.0
2014-01-01,7635.0,25584.0,33219.0
2014-02-01,7912.0,26907.0,34819.0
2014-03-01,8225.0,27973.0,36198.0
2014-04-01,8514.0,28853.0,37367.0
2014-05-01,8798.0,29720.0,38518.0
2014-06-01,9055.0,30555.0,39610.0
2014-07-01,9357.0,31397.0,40754.0
2014-08-01,9648.0,32234.0,41882.0
2014-09-01,9906.0,33018.0,42924.0
2014-10-01,10187.0,33945.0,44132.0
2014-11-01,10522.0,34936.0,45458.0
2014-12-01,10911.0,36312.0,47223.0
2015-01-01,11324.0,37858.0,49182.0
2015-02-01,11663.0,39034.0,50697.0
2015-03-01,11985.0,40175.0,52160.0
2015-04-01,12295.0,41121.0,53416.0
2015-05-01,12564.0,41946.0,54510.0
2015-06-01,12873.0,42794.0,55667.0
2015-07-01,13210.0,43610.0,56820.0
2015-08-01,13481.0,44410.0,57891.0
2015-09-01,13761.0,45223.0,58984.0
2015-10-01,14102.0,46143.0,60245.0
2015-11-01,14399.0,47094.0,61493.0
2015-12-01,14773.0,48259.0,63032.0
2016-01-01,15123.0,49639.0,64762.0
2016-02-01,15473.0,51402.0,66875.0
2016-03-01,15807.0,52925.0,68732.0
2016-04-01,16066.0,53889.0,69955.0
2016-05-01,16374.0,54788.0,71162.0
2016-06-01,16650.0,55544.0,72194.0
2016-07-01,16945.0,56428.0,73373.0
2016-08-01,17230.0,57290.0,74520.0
2016-09-01,17481.0,58150.0,75631.0
2016-10-01,17754.0,59022.0,76776.0
2016-11-01,18040.0,60007.0,78047.0
2016-12-01,18349.0,61154.0,79503.0
2017-01-01,18718.0,62318.0,81036.0
2017-02-01,19024.0,63613.0,82637.0
2017-03-01,19382.0,65124.0,84506.0
2017-04-01,19706.0,66262.0,85968.0
2017-05-01,20026.0,67232.0,87258.0
2017-06-01,20302.0,68028.0,88330.0
2017-07-01,20565.0,68844.0,89409.0
2017-08-01,20832.0,69709.0,90541.0
2017-09-01,21106.0,70621.0,91727.0
2017-10-01,21383.0,71564.0,92947.0
2017-11-01,21684.0,72550.0,94234.0
2017-12-01,22094.0,73789.0,95883.0
